"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-09-22 ~ 2025-09-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 용인시 수지구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"86","경기도 용인시 수지구 풍덕천동","691","0691","0000","동부","59.6100","202509","06","64,700","-","12","개인","개인","1995","수지로 323","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구","-"
"87","경기도 용인시 수지구 풍덕천동","1209","1209","0000","e편한세상수지","84.9210","202509","06","132,000","-","11","개인","개인","2017","포은대로313번길 7-10","-","중개거래","경기 용인시 수지구","-"
"88","경기도 용인시 수지구 풍덕천동","1186","1186","0000","정자뜰마을태영데시앙2차","84.6587","202509","06","109,000","-","10","개인","개인","2006","풍덕천로22번길 67","-","중개거래","경기 용인시 수지구, 인천 미추홀구","-"
"89","경기도 용인시 수지구 성복동","753","0753","0000","버들치마을경남아너스빌1차","101.9898","202509","06","68,500","-","10","개인","개인","2007","성복1로 157","-","중개거래","경기 용인시 수지구","-"
"90","경기도 용인시 수지구 성복동","771","0771","0000","버들치마을성복힐스테이트1차","134.8590","202509","06","95,500","-","9","개인","개인","2011","성복1로 91","-","중개거래","경기 용인시 수지구","-"
"91","경기도 용인시 수지구 성복동","789","0789","0000","성복역롯데캐슬골드타운","84.9979","202509","06","140,000","105동","21","개인","개인","2019","성복2로 10","-","중개거래","경기 용인시 수지구","25.09.12"
"92","경기도 용인시 수지구 신봉동","911","0911","0000","신봉마을자이2차","134.9600","202509","06","72,000","-","8","개인","개인","2005","신봉2로 72","-","중개거래","경기 용인시 수지구","-"
"93","경기도 용인시 수지구 죽전동","1304","1304","0000","꽃메마을힐스테이트(4차3단지)","84.9959","202509","06","78,600","-","16","개인","개인","2004","죽전로 87","-","중개거래","경기 용인시 기흥구, 경기 용인시 수지구","-"
"94","경기도 용인시 수지구 죽전동","1003-8","1003","0008","현암마을동성2차","84.9900","202509","06","79,000","-","8","개인","개인","1999","용구대로 2720","-","중개거래","경기 용인시 수지구","-"
"95","경기도 용인시 수지구 죽전동","1304","1304","0000","꽃메마을힐스테이트(4차3단지)","84.9959","202509","06","77,750","-","5","개인","개인","2004","죽전로 87","-","중개거래","경기 용인시 수지구","-"
